review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
39,5,"인테리어 업체 결정 후 8월에 가장 먼저 예약했던 붙박이장
붙박이장 자체가 굉장히 디자인도 많고  브랜드도 많았지만 리바트를 선택했던 건 
상세페이지에 기재된 설명   가성비  A/S등 다양하다. 
특히 방문 실측 후 취소해도 100% 환불가능하다는 내용은 감동 그자체 



이번에 이사하면서 인테리어 컨셉을 화이트로 정했기 때문에 붙박이장도 화이트로 하고싶었고  
전체적인 컨셉이 화려하지 않고  유행타지않는 느낌을 원했는데 
리바트 붙박이장 중에 신상 '폴리아' 가 딱 눈에 들어왔어요! 

세입자의 변덕으로 실측일정이 세번이나 변경되었는데도 항상 친절하게 
실측까지 마무리해주셨던 실측플래너님과 시공 당일 설치기사님 너무 만족스러웠고  

기사님은 설치당일 우리보다 더 빨리 오셔서 1시간동안 자재들  옮겨놓으신 다음 
보양작업도 깨끗하게 하신 후 작업해주셨어요.  아무래도 너무 화이트라 부담스러우셨었나.... ㅋㅋ

이날 세탁기와 냉장고 등 기사님이 정말 여러분이 오셨었는데 
우리 리바트 기사님 제일 일찍오셔서 제일 늦게가셨고  꼼꼼히 잘 해주셨어요


?

?",swee****,20.11.09.,0,장롱/붙박이장,침실가구
,,,,,,,
40,5,깨끗하고이뻐요.수납서랍장이하나도없어서속옷보관은좀그래요.바구니가하나씩있어야해요.가격저렴하고설치기사님날짜맞춰서오셔서설치잘하고가셨어요.,jeh5****,20.11.26.,0,장롱/붙박이장,침실가구
,,,,,,,
41,5,이가격에 이상품이라니 너무 만족합니다,jino****,21.01.27.,0,장롱/붙박이장,침실가구
,,,,,,,
42,4,깔끔하게 설치해주고 가셨어요. 안보이게 수납할수 있어서 좋아요 생각보다 공간도 넓네요 ㅎ,chej****,20.12.09.,0,장롱/붙박이장,침실가구
,,,,,,,
43,5,"기사님혼자 오셔서 애써주셨어요.
기존제품에 서랍장두개 추가했고요.
개당 10만원씩 추가됐습니다.
컬러 디자인 다 맘에 드는데 장롱 몸통 뒷판이 많이 얇아요.
붙박이장이라 상관은 없겠지만...
그래도 불안불안 합니다.
그 점 감안해서 구매하셔요.
완성샷 올립니다.
내부는 ^^; 아직 정리 전이라 ㅎ",jees****,20.11.23.,0,장롱/붙박이장,침실가구
,,,,,,,
44,4,제품 만족합니다. 추가되는 비용이 있어 그점은 명심해야합니다. 2단봉있는 장은 여자분들이 옷을 꺼내기가 어렵습니다. 하지만 적당한가격에.잘구매한거 같습니다.  지금은 손잡이가 업그레이드 된것 같네요,dest****,20.11.14.,0,장롱/붙박이장,침실가구
,,,,,,,
45,5,"무광/유광으로 엄청 고민했었는데 코모 후기를 보고 독특한 질감이라 유광의 과도한 번쩍임  무광의 지문묻는 단점을 커버할 수 있는 제품이라고 생각하고 주문했어요. 실측 후 2주정도 뒤에 시공이 된다고 해서 어수선한 집에서 2주간 괴롭긴 했지만ㅋ 시공 후에 그런 기다림쯤은 감수하길 잘 했단 생각이 들었어요ㅋ 기사님 두분이 오셔서 2시간동안 설치하고 가셨어요~ 뚝딱뚝딱^^ 거울  넥타이걸이  옷걸이봉 사은품도 알아서 잘 챙겨다 주셨어요.(실측기사님께 말 안해서 순간 뜨악했는데) 
10자 반으로 주문했는데 100 90 100으로 주문했는데 5만원 추가하면 100  100  100으로 할 수 있대서 5만원 추가했네요. 그리고 긴 옷이 많아서 맨 오른쪽 장을 긴장으로 바꿨어요. 나중에 서랍 해도 되냐고 여쭈었더니 서랍 하나에 10만원인데 돈 아깝다고 수납용품 사용하라고 말씀해주신 실측기사님ㅋㅋ 너무 감사하더라구요~ 
이사오고나니 벽지가 회색이라 회색으로 할까 순간 고민했는데 벽지가 화이트라 연결된 느낌이어서 넓어보이고 좋아요^^ 강추합니다.",mint****,20.11.07.,0,장롱/붙박이장,침실가구
,,,,,,,
46,5,생각한데로 기대한  만큼 맘에들어요 근데 옵션을 제가 잘못 선택해서 조금 불편하네요 아쉬워요 그래도 장은 아주 예뻐요 하길잘했어요,cell****,20.12.14.,0,장롱/붙박이장,침실가구
,,,,,,,
47,5,"온라인으로 붙박이장 처음 주문해봤는데
시공 일정도 기본일정보다 빈 시간에 빠르게 잡아주셨어요~ 한분이 오셔서 설치해주셨는데 바닥에 깔구 먼지 많이 안날리게 꼼꼼히 설치해주셨습니다
엄청 고생하시더라구요~! 디자인도 사진으로 보던거랑 똑같았어요??만족합니당",csj1****,20.12.04.,0,장롱/붙박이장,침실가구
,,,,,,,
48,5,"잘 사용하고 있어요. 깔끔하고 이뻐요. 
붙박이 h브랜드만 생각했다가 리바트로 했는데 좋네요. ㅎㅎ",amyl****,20.12.14.,0,장롱/붙박이장,침실가구
,,,,,,,
49,5,잡안분위기하도 잘어울리고 다들 잘샀다고 하니 기분좋게사용중입니다 감사합니다,leop****,20.12.20.,0,장롱/붙박이장,침실가구
,,,,,,,
50,5,수납바구니가없고서랍장이없어서좀불편해요.하얀색이라깔끔하긴해요.손잡이부분이한쪽이라마니불편하네요,jeh5****,20.12.31.,0,장롱/붙박이장,침실가구
,,,,,,,
51,5,"사진관같이 깔끔함 자체네요
두분이 오셔서 실리콘마감 없이도 아주 깔끔하게 설치 잘 해주셨습니다 너무 이쁘고 수납도 넉넉하고 좋아요행사에 저렴하게 잘 구매했습니다",kyh2****,20.12.20.,0,장롱/붙박이장,침실가구
,,,,,,,
52,5,붙박이장하니 깔끔하고 좋아요 설치기사분도 친절함,ley4****,20.12.09.,0,장롱/붙박이장,침실가구
,,,,,,,
53,5,디자인도 좋고 수납도 잘됩니다. 설치도 꼼꼼히 잘해주셨어요,mini****,20.12.26.,0,장롱/붙박이장,침실가구
,,,,,,,
54,3,설치는 잘 받았구요 설치기사도 친철했는데 다만 사다리차 쓰지도 않고 사다리 비용 받았고요 고객센타에 전화해서 사다리차 쓰기로해서 비용 결제했는데 기사가 당일날 자기가 직접 날랐다고 빼달라했더니 배째란 식이더라고요 글고 신입들 교육시킨다고 세명이나 집으로 끌고와서 부담스러웠고요 붙박이장 옆에 마감하는데 10만원 추가 비용 나왔네요 상품은 그럭저럭 만족하는데 서비스나 고객대응은 최악인 회사더군요 주문하실분들은 참고하세요 바가지 쓰지 마시고요 네이버에서 주 문하고 이렇게 혹평은 처음이네요,peop****,20.11.04.,0,장롱/붙박이장,침실가구
,,,,,,,
55,5,깔끔합니다~수납도 좋구요,hmmi****,20.12.16.,0,장롱/붙박이장,침실가구
,,,,,,,
56,5,색상도 사진이랑 비슷하고 크기도 적당하게 설치되었습니다. 내부에 수납장을 추가해서 공간활용도 좋은거 같습니다. 가격대비 퀄리티도 만족합니다.,adse****,20.11.01.,0,장롱/붙박이장,침실가구
,,,,,,,
57,5,설치도 깔끔하게 해주시고사용공간 충분합니다  만족하며사용하고있 습니다,coeh****,20.12.24.,0,장롱/붙박이장,침실가구
,,,,,,,
58,5,"전원주택에 살고 있어서 아파트에 비해 천고가 높아서  추가비용이 12만원정도 들었습니다. 
그래도 깔끔하게 진행해주셔서 붙박이장은 매우 마음에 들고요. 매우 튼튼해 보인다 이런 느낌은 아니지만  그래도 제가 구성도 선택할 수 있고 옷 정리하기 너무 좋은것 같아요. 강추합니다.",qkrg****,20.11.26.,0,장롱/붙박이장,침실가구
,,,,,,,
59,4,깔끔하니 예쁜데 문열때 한쪽 열고 열어야해서 조금 불편해요,liju****,20.12.02.,0,장롱/붙박이장,침실가구
,,,,,,,
60,4,고객센터 고객 응대도 별로고 배송도 계속 미뤄지고..실측도 구매한지 일주일 후에 진행..실측 후   열흘만에 설치되고 너무 늦었어요.. 실측 후  마감 추가비도 더 내고..그런데 배송기사님 설치하는데 다섯시간이상 걸리셨는데 묵묵히 꼼꼼하게 설치해 주셔서 오히려 죄송했네요. 수납공간이 많아 좋네요. 그런데 뒷쪽 판넬이 손으로 누르면 쑥 들어갈 정도로 약하네요..ㅠ그것 빼면 가구는 맘에 들어요.,godb****,20.10.24.,0,장롱/붙박이장,침실가구
,,,,,,,
61,5,"실측기사님 설치기사님 두 분다  너무  친절하시고  잘 설치해 주셔서  감사해요
상품도  찐으로^^  마음에  듭니다!!
붙박이장  강추 강추!!!!합니다",alph****,20.11.17.,0,장롱/붙박이장,침실가구
,,,,,,,
62,5,잘 사용하고 있습니다,fkaq****,20.12.25.,0,장롱/붙박이장,침실가구
,,,,,,,
63,5,"설치기사님 친절하시고 꼼꼼하게 잘 해주시네요
뒷정리도 깔끔하시고...
붙박이 장도 넓직한게 정말 마음에 들어요",anol****,20.11.22.,0,장롱/붙박이장,침실가구
,,,,,,,
64,5,디자인도좋고색상도좋고 맘에들어요,audt****,20.11.26.,0,장롱/붙박이장,침실가구
,,,,,,,
65,5,"친정집에 해드렸는데
엄마가 매우 만족하시네요
실측시간도 잘 지켜주셨고
시공날도 일찍오셔서  잘 해주셨다고 칭찬하셨어요
너무 만족합니다~~^^",fkaq****,20.11.13.,0,장롱/붙박이장,침실가구
,,,,,,,
66,5,"설치하는데 시간이 생각보다 오래 걸리네요.정말 꼼꼼이 해주시네요.
감사합니다",dja9****,20.11.17.,0,장롱/붙박이장,침실가구
,,,,,,,
67,5,"무광으로 할까 하이그로시로할까 고민했었는데 하이그로시로 결정하기를 잘한것 같아요~
거울도 부착되어 편하게 이용할수 있고 흰색이라서 방안이 환해서 좋아요~",hek0****,20.11.06.,0,장롱/붙박이장,침실가구
,,,,,,,
68,5,"색상도 이쁘고 집인테리어랑 잘맞아서 너무좋아요
배송설치하신분도 깔끔하게 잘해주셨어요
감사합니다",leop****,20.11.15.,0,장롱/붙박이장,침실가구
,,,,,,,
69,5,"심플하고 골드포인트로
너무예쁜거같아요
구축아파트 벽박이장에 철거하고
붙박이장설치했는데
너무 딱딱딱 깔끔하게떨어져서
마음에드네요",gml3****,20.11.15.,0,장롱/붙박이장,침실가구
,,,,,,,
70,5,"브랜드 제품이니 믿고 구입해요 리바트 첨인데 실측기사님 설치기사님 모두 친절해요
제가 원하는 날짜로 배송 신청 했고
기존 집 스타일과 가장 비슷한 스타일로 글래드 화이트 했는데 너무 만족 스러워여~~
전 긴옷 걸 공간이 많이 필요해서 선반은 빼고 이불장과 긴옥장으러 두통 했어요 안에 냄새는 조금 나는데 알파룸에 설치한가라 문 하루이틀 열어 두려고여~방이 작은데 설치해서 사진에 다 안담기네요 ㅎㅎㅎ ~잘쓸게요~~",6423****,20.10.19.,0,장롱/붙박이장,침실가구
,,,,,,,
71,5,"설치 기사님도 친절하시고
빠른 설치가되어 만족합니다",hmmi****,20.11.16.,0,장롱/붙박이장,침실가구
,,,,,,,
72,5,잘 사용하고 있어요.,dosl****,20.11.29.,0,장롱/붙박이장,침실가구
,,,,,,,
73,5,기사님이 친절하게 조립해주셨고 너무너무 만족합니다,alec****,20.11.21.,0,장롱/붙박이장,침실가구
,,,,,,,
74,5,일단  색상이  너무  맘에 들어요..무광에  어둡지않은  회색인데  그러면서도  가볍지는  않은...회색을  하면서  어둡거나  노인들이  사는  방같으면  어쩌나  걱정했었는데..완전  세련되고  예뻐요,simp****,20.11.18.,0,장롱/붙박이장,침실가구
,,,,,,,
75,4,"설치해주신 기사님 너무 친절해서 10점 만점 11점.

근데 어느정도 뒷처리는 해주시는 시스템은 필요할거 같아요. 

온 방이 톱밥이라서 방만 5번도 넘게 닦았습니다. 붙박이장 내부는 당연히 더하구요~ 

재질은 그냥 합판(MDF)입니다. 견고하진 않아요.",coff****,20.10.18.,0,장롱/붙박이장,침실가구
,,,,,,,
76,5,가격도 저렴하고 품질이 좋아요~ 굿!,bull****,20.11.27.,0,장롱/붙박이장,침실가구
,,,,,,,
77,5,친절하시고 너무 좋네요 맘에들ㅇ어요,shai****,20.11.12.,0,장롱/붙박이장,침실가구
,,,,,,,
78,1,"서비스 빵점!
왜 대리점 직접가서 상담받고 사야하는지 알게된 계기가 되었습니다.

천안 담당하시는 대전 실측기사님이 오셨고 전화태도부터 불친절하다는 느낌을 받았습니다. 
물론 실제로 대면하면 안그러신분도 계시니 그러려니 했습니다. 그러나 역시 첫인상이 끝까지 가네요.. 
실측시와 설치까지 처음엔 주말로 요청드렸으나 주말엔 서비스가 되지 않는다고 하시고  설치도 이사가는 집이라 오후에 들어왔으면 했는데 오후는 안된다며 아침9시부터 들어오셔서 해야한다고 말하더라구요.
그래서 이사날 아침에 설치하려고 청소와 이사시 일정까지 저희가 사정해가며 시간 맞춰놨습니다.

그러나 설치일 일주일도 안남고 실측해주신 분이 연락와서 갑자기 주말설치는 안되겠냐고 하시더라구요.
하 거기서부터 짜증이 나기 시작합니다. 주말안된다고 해서 이사 일정과 청소 다 맞춰놨더니 이제와서 그러시면 어쩌지요? 당연 안된다고 말씀드렸고 알겠다고 하시더라구요.

그러더니 설치하기로한 날 당일 설치기사님이 전화오셔서 12시에 오신다고 하시네요? 9시부터 시공받기로 했는데 왜 12시냐 물었더니 자재찾고 오셔서 9시엔 할수없다고 12시부터 시공할수 있다고 하시더라구요.

그래서 저희 실측해주신 분께 어찌된일인지 연락드렸더니 본인은 상관이 없으니 고객센터에 연락하라고 하시네요...

결재다하고 실측 끝났으니 이제 본인일은 거기서 다 끝난건지.. 결국 저희는 취소도 못하고 이사다하고 시공받았습니다. 원하는 날짜엔 못한 꼴이 됐고 청소와 정리시간이 배로 늘었습니다.ㅡㅡ

시공 후기글도 다시 보니 친절하다는 글이 있는 반면 불만족스럽다는 글도 보이더라구요. 이름있는 업체에서 복불복 서비스를 받는다는게 이해되지 않습니다.

저흰 중문도 함께 시공받으려 했으나 이런 서비스론 이제 리바트 이용하지 않으려 합니다. 처음이자 마지막이 되었습니다. 

본인들의 시간이 소중한만큼 고객의 시간도 소중하다는걸 알아줬으면 합니다!",over****,20.09.22.,0,장롱/붙박이장,침실가구
,,,,,,,
79,4,설치해주신분이 넘 잘해주심,kimw****,20.11.28.,0,장롱/붙박이장,침실가구
,,,,,,,
80,5,"두번째 구입입니다
언제나 굿초이스예요",skyt****,20.11.26.,0,장롱/붙박이장,침실가구
,,,,,,,
81,5,깔끔하고 수납도 좋아요,rhgm****,20.11.26.,0,장롱/붙박이장,침실가구
,,,,,,,
82,5,우선 붙박이장 자체는 아주 마음에 들고 설치기사님도 꼼꼼하게 잘해주셨어요. 근데 설치 전에 리바트 상담해주시는분?.. 너무 별로였어요 설치 날짜도 마음대로 정하시고 그것빼고는 다 마음에 듭니다,hyun****,20.11.06.,0,장롱/붙박이장,침실가구
,,,,,,,
83,5,"디자인도 예쁘고 깔끔했어요
집이 환해보여요",ylee****,20.11.23.,0,장롱/붙박이장,침실가구
,,,,,,,
84,5,"새집에 붙박이장 시공했어요 드레스룸이 넓지만 이불장은 따로 필요할것같아서 시공했구 한쪽은 아기들 옷장으로 쓰면 될듯 하네요~ 날이 참 더웠는데도 시공해주시는 분들께서 열심히 시공 잘해주셨구요 새아파트라 실측하는것도 쉬운 일이 아니었는데 일정도 잘 맞춰주셔서 너무 감사했습니다
붙박이장 디자인은 너무 튀지도 않아서 방 분위기랑 잘 어울리는 듯해요~ 튼튼하게 오래사용할수있음 좋겠어요~",whit****,20.09.12.,0,장롱/붙박이장,침실가구
,,,,,,,
85,5,"리바트 가격도 착하고 
깔끔하게 설치해 주셨네요",kmh8****,20.10.31.,0,장롱/붙박이장,침실가구
,,,,,,,
86,4,설치 디자인깔끔해요,high****,20.10.28.,0,장롱/붙박이장,침실가구
,,,,,,,
87,4,가격도 저렴하고 깔끔하니 예뻐요,liju****,20.10.26.,0,장롱/붙박이장,침실가구
,,,,,,,
